Agriculteurs exploitants,"Artisans, commerçants, chefs d'entreprise",Cadres et professions intellectuelles supérieures,Professions intermédiaires,Employés1,Ouvriers,Sans Emploi,Retraités,Etudiants
9.316160604,9.832807695,10.37092287,10.25344404,9.590011439,9.637473257,10.3624991,6.552820732,2.956966491
9.380375025,9.981419629,10.62813475,10.55043545,9.817945282,9.887879432,10.77061355,6.099928627,3.091185916
9.410031436,10.12067423,10.91248823,10.8981101,10.08374622,10.18575305,11.28104679,5.445169532,3.431029636
9.290286326,10.04363207,10.90204598,10.94117247,10.11420005,10.23584793,11.43314553,5.02685719,3.974204152
9.137863526,9.824105678,10.60396664,10.63379178,9.876665434,9.985978215,11.07273883,5.260880649,4.185872938
9.117522055,9.826974809,10.63958967,10.68862587,9.918041822,10.03558438,11.17122036,5.089176714,4.340282229
9.137516835,10.00661629,11.03241272,11.17890746,10.2925555,10.45811065,11.90684666,4.106438354,4.910277755
9.091344845,9.087726383,8.943470527,8.543787915,8.281312372,8.181079645,7.909310759,9.556606243,1.605296401
6.550109128,7.191889676,8.110054258,8.679018098,8.333033677,8.569295314,9.945633206,2.325918813,12.09115201
