time,S1,S2,S3,S4,S5,S6,S7,S8,S9,Sv1,Sv2,Sv3,Sv4,Sv5,Sv6,Sv7,Sv8,Sv9,Sx1,Sx2,Sx3,Sx4,Sx5,Sx6,Sx7,Sx8,Sx9,E1,E2,E3,E4,E5,E6,E7,E8,E9,Ev1,Ev2,Ev3,Ev4,Ev5,Ev6,Ev7,Ev8,Ev9,Ex1,Ex2,Ex3,Ex4,Ex5,Ex6,Ex7,Ex8,Ex9,I1,I2,I3,I4,I5,I6,I7,I8,I9,Iv1,Iv2,Iv3,Iv4,Iv5,Iv6,Iv7,Iv8,Iv9,Ix1,Ix2,Ix3,Ix4,Ix5,Ix6,Ix7,Ix8,Ix9,R1,R2,R3,R4,R5,R6,R7,R8,R9,Rv1,Rv2,Rv3,Rv4,Rv5,Rv6,Rv7,Rv8,Rv9,Rx1,Rx2,Rx3,Rx4,Rx5,Rx6,Rx7,Rx8,Rx9,D1,D2,D3,D4,D5,D6,D7,D8,D9
10,2205.89842922428,21521.8894077596,32784.6496690524,27981.1580903741,88380.6771198098,57972.2686454607,46532.4339466473,192608.663721444,173877.730885574,93718.0620969203,525716.003365044,1544340.27290894,1943653.74450724,0,0,0,0,0,123.205062248959,1167.61671506657,1836.68632973909,1593.58127590093,0,0,0,0,0,43536.6308781818,254014.336159686,712608.450096707,872310.749998229,1913705.26792331,1402627.71033336,1710635.04250673,1997032.32426872,1982182.83127344,15402.8170511253,79927.2020843718,256598.740348361,336281.518484645,0,0,0,0,0,2431.63204905252,13780.9176112416,39922.2871667493,49679.7907175429,0,0,0,0,0,81773.1565505179,431795.278420701,1362494.97795045,1774216.15694982,2881725.72963429,2146912.40546492,2775155.12654943,2661861.30123682,2675706.33760419,14459.5131372248,72691.0990474186,242597.900438312,324916.336790862,0,0,0,0,0,2753.82842447529,14613.1947199715,45785.4330115624,59345.369487993,0,0,0,0,0,55916.7347731281,286691.368411963,946896.245836374,1264644.47257545,2148595.4378008,1611945.60930828,2164739.12112395,1764471.80731285,1867948.31220087,20376.4256294306,98998.7110854243,347447.849712141,478684.87715963,0,0,0,0,0,1553.0363615529,7956.53053594226,26269.5580983904,35052.8180585755,0,0,0,0,0,749.059556916913,125.852435412247,1416.94843321767,639.425903727639,2592.88752178442,6542.00624797154,2938.27587324272,84025.9034601659,284.788035924106
11,618.196668743997,7042.97228920011,8953.7623401702,6870.33377737149,28328.8668603572,17991.9973636286,12805.4430686515,76141.8891980681,66602.293504974,94029.1291306163,528679.315750829,1548950.46958163,1947618.80445527,0,0,0,0,0,45.9344723363931,506.555283834836,666.545073716486,520.098016552268,0,0,0,0,0,27604.0020313239,165034.680676018,450663.709866249,545723.447036682,1420713.77199615,1037943.19646824,1253403.95161448,1527451.53991405,1509121.3268861,15435.6475444141,82330.8903739976,255662.804837258,329527.043457114,0,0,0,0,0,2051.08718922371,11869.8734113472,33548.7657927309,41312.3570975084,0,0,0,0,0,76627.9617925333,410835.522665025,1273739.20290633,1645038.23892108,2858123.5967724,2122673.53665864,2714782.52238073,2708141.02625414,2714283.49946362,17342.443411309,88871.7317283541,289785.811858746,383520.728665402,0,0,0,0,0,2973.74030265493,16086.3121166553,49264.5131244315,63155.4337224224,0,0,0,0,0,63340.8661411661,329596.208774752,1070648.98731625,1418469.45577151,2724545.82995555,2039115.61367596,2715322.48107475,2279703.78179189,2409625.50781963,31869.4687697366,156935.582821476,541506.626762954,739057.533541116,0,0,0,0,0,2124.93327262257,11051.272234551,35840.5879892306,47393.7356344678,0,0,0,0,0,936.589273318912,159.081873962255,1768.21255029511,792.789903503284,3287.93441554188,8275.65583352957,3685.60186137951,108561.762841846,367.372325669997
12,176.805232380616,2337.00099967495,2501.31297585734,1734.09895167821,9459.44105745841,5824.00808871789,3692.96801772999,31075.6850289266,26348.2313646628,94125.9171888674,529766.100920509,1550342.86321608,1948688.12150164,0,0,0,0,0,17.4740783471838,223.342522494381,247.131782363717,173.984686236416,0,0,0,0,0,16799.3345535831,101993.022769241,274164.080101472,330259.678129991,1033532.45963361,753735.775752708,905581.978788826,1131798.45995474,1114650.62597782,14156.8487266231,77239.9458421985,233406.666869796,296977.096898271,0,0,0,0,0,1660.3178775723,9747.26967822328,27087.6369448978,33135.4369486114,0,0,0,0,0,68683.485157348,372251.48396319,1139960.76168907,1464095.21235605,2706110.72872366,2005088.93462708,2544435.3345158,2614692.33389897,2614294.50480974,19246.7971204691,100304.000893044,320483.983969391,419895.39081053,0,0,0,0,0,3022.33159296252,16600.0840479977,49929.047181385,63471.3399536517,0,0,0,0,0,67302.7428103958,354416.338996132,1136625.17975044,1496972.77348363,3281936.78647937,2451402.37904533,3241889.38919542,2789590.44780272,2944257.75530756,45969.4296809435,229590.325266231,778339.796515565,1052535.58166078,0,0,0,0,0,2722.38143851078,14339.7872469256,45807.7338432428,60122.9790598086,0,0,0,0,0,1116.13454199634,191.296854141191,2103.80516043651,938.305559113723,3960.5841058928,9948.90248616309,4400.32948221894,132843.073314637,448.882540224266
13,53.6548434623489,813.52828790776,743.677365919009,469.685354812645,3416.4168151981,2043.66553412177,1164.4449073794,13508.0986405014,11120.8751238577,94155.9912295131,530160.463285084,1550764.03580653,1948978.99042543,0,0,0,0,0,7.04449079999609,103.326275257702,97.3148595629863,62.2642375310248,0,0,0,0,0,9957.50793707596,61018.0899693569,162712.516874974,195647.778228212,745543.381152224,543191.372120942,650956.182263416,825533.669242839,811296.621521908,12191.3264689769,67677.0920238038,200321.091578435,252486.433043964,0,0,0,0,0,1307.34838696981,7749.91116300042,21291.9559670349,25936.2137039123,0,0,0,0,0,59771.8129952088,326380.793962136,991167.681567962,1268339.7617525,2480625.21233521,1834823.50700999,2315000.39928812,2432694.75827087,2427624.5874282,20105.0901731111,106254.058110916,333819.96868817,433812.101147554,0,0,0,0,0,2939.05912812654,16335.3120357667,48448.0548072743,61197.8186268542,0,0,0,0,0,67966.9568757947,361276.627597401,1147903.70759328,1505578.48146321,3800828.21645867,2834438.02052135,3727819.07475684,3272427.23233434,3449432.01434621,61946.9100998105,313361.990602802,1045641.21746157,1402784.80251978,0,0,0,0,0,3315.32594078287,17647.4764660246,55675.4831818612,72633.8375733728,0,0,0,0,0,1281.97143036737,221.330220545787,2413.29424742139,1071.83192284564,4586.77323870195,11503.4348135951,5059.89878424006,155836.241511446,525.901579825808
14,17.596423341953,301.954433757903,239.743788186648,139.290654868759,1360.55890138612,792.953475547137,410.260007645697,6355.77078681978,5093.39573565727,94165.8551965326,530309.306954202,1550898.98993964,1949063.66524229,0,0,0,0,0,3.07575324080138,51.1003471711574,41.6101211158964,24.4212007851018,0,0,0,0,0,5775.38326502901,35595.5541112612,94617.0249859272,113783.546775866,535904.522862942,390246.731543269,467051.868891534,597459.516039365,586320.616828406,10047.1500239665,56492.0521209999,164693.530211236,206187.487487134,0,0,0,0,0,1009.5036615726,6023.90615762091,16421.8055411101,19949.1548408081,0,0,0,0,0,50992.947697681,279861.738700135,845189.404377637,1078969.72988499,2221780.84306871,1641213.32725631,2061803.81166518,2203773.67357695,2195810.70239713,20043.2371766461,107137.225353237,332034.582097994,428697.002940547,0,0,0,0,0,2765.66191646608,15513.9473056164,45513.1617706208,57212.395001674,0,0,0,0,0,65768.5094783338,352223.955478238,1111789.39610257,1454130.98096276,4270800.14799345,3180837.70590689,4165080.65027174,3715476.35780942,3912178.83292141,79097.827690169,404399.237391103,1331781.79334441,1775150.09866696,0,0,0,0,0,3881.95087808604,20841.4590593101,65087.3001658674,84500.7400718336,0,0,0,0,0,1431.30083893442,248.562587351816,2691.65755368265,1191.48626948262,5153.92717351284,12909.2818179863,5653.40916389471,176934.681787448,596.45211740299
15,6.25286889372819,119.771084113829,84.0384550511931,45.3763311974791,601.468146998392,342.548683992168,162.723362132335,3255.79559474119,2546.94992784081,94169.3802074813,530369.532805535,1550946.27140767,1949090.91673068,0,0,0,0,0,1.46856727967361,27.2469183391413,19.5078448760853,10.6073736243005,0,0,0,0,0,3271.94400080624,20249.2212252386,53809.6144845711,64793.0838229204,384621.336427672,279996.971069972,334861.817419286,430677.25386868,422234.041894507,8028.09386988889,45565.4556624521,131378.600248439,163690.626919672,0,0,0,0,0,768.458443983694,4606.52820534651,12490.8247250323,15146.3203446143,0,0,0,0,0,42915.1537758332,236335.246505574,711155.442075129,906480.715522153,1956084.21198101,1443491.35414256,1807433.30627199,1957432.40915352,1947981.52967782,19272.647326895,103964.128943014,318693.494882373,409355.71370502,0,0,0,0,0,2538.10232326975,14340.5560109514,41713.6210802241,52240.3341982654,0,0,0,0,0,61181.6847545048,329776.011815581,1036124.52315353,1352705.23818215,4688035.54386797,3488013.18688947,4551364.42734598,4112779.8709069,4326577.8469676,96875.3473539411,499541.57955787,1627831.42242062,2158685.62338516,0,0,0,0,0,4408.17731845843,23831.9615209103,73815.1559834241,95458.5833339553,0,0,0,0,0,1563.28918876399,272.759745075752,2937.48323905928,1296.86015058104,5657.43957634897,14155.9392139974,6177.72560060833,195854.670476162,659.631532233827
16,2.38509000881597,50.3343919444822,31.7421914875659,16.0887452937014,294.77550767121,164.531849961179,72.547273100229,1814.23861806394,1389.43822920887,94170.7708171896,530396.012516731,1550964.61852532,1949100.73697142,0,0,0,0,0,0.767838110699538,15.6870790875041,10.0404199616114,5.10784193344491,0,0,0,0,0,1797.61114603402,11167.2164241882,29723.1120823933,35865.7098006283,275847.999404947,200774.400530375,240013.719844002,309795.304723467,303508.173850139,6273.77680249872,35856.8630496861,102554.431041188,127336.947567975,0,0,0,0,0,578.709541795616,3480.34416362348,9401.76194167863,11386.6167403455,0,0,0,0,0,35776.6103882659,197471.026403665,592838.864636401,754949.968501492,1699824.88520147,1253397.75176003,1565372.37113151,1712871.03285987,1702932.54403549,18016.1926841788,97904.3568810995,297492.702104206,380557.521373147,0,0,0,0,0,2284.26934362278,12980.2294229105,37503.2304941519,46830.1507541032,0,0,0,0,0,54633.5300288917,296291.355820525,927944.994961743,1210205.156065,5052934.54655374,3756418.06792543,4887906.83540823,4462987.51670419,4691454.58312146,114900.817638034,596526.46475506,1927648.06401303,2545988.60920585,0,0,0,0,0,4886.23132502079,26566.1735874147,81734.8404854609,105368.94289733,0,0,0,0,0,1678.32735634853,293.935504067102,3151.59710297797,1388.44353547178,6097.79333217,15245.2479342071,6634.52634314719,212531.907094404,715.260763709308
17,0.956826871477558,21.9946558918437,12.6667633901982,6.0850692419938,159.199513948404,87.3259539528911,36.1071288625699,1094.47838034832,822.894306935232,94171.3766921759,530408.683675281,1550972.50587352,1949104.69795497,0,0,0,0,0,0.43792583865541,9.72259159836841,5.65014846626988,2.71410010790999,0,0,0,0,0,944.28546132165,5893.83168977333,15735.9388320551,19043.7943277195,197766.643698074,143925.422034952,172007.653467178,222579.138948495,217946.026609319,4822.55549335057,27706.905857701,78775.5239391718,97567.8973138354,0,0,0,0,0,432.185816375343,2605.32916500128,7019.18776868077,8494.03058278823,0,0,0,0,0,29628.0117704168,163775.060866066,490984.996249458,624890.562339217,1462198.8606298,1077504.95668782,1342947.45206099,1481643.04613675,1471876.42652876,16470.0226229537,90036.9485396358,271655.95196153,346364.600001962,0,0,0,0,0,2024.25790493938,11555.3600991701,33207.251120734,41369.6974683221,0,0,0,0,0,46484.6335725614,253791.045448118,793193.779442587,1034119.09920739,5368396.80846721,3988295.98166594,5177980.53385676,4767643.41249023,5008591.04105888,132930.708673731,693863.001470645,2227301.10233797,2932383.43960598,0,0,0,0,0,5313.05495104913,29019.8643245681,88799.337715481,114186.150687326,0,0,0,0,0,1777.5122884154,312.251616553159,3336.10784695524,1467.23134114213,6478.48769096774,16186.3136573291,7028.25348619944,227039.924044176,763.611496106989
18,0.389567541210785,9.67012404703718,5.16297060175739,2.37278560613673,93.9447848772735,50.769857663051,19.868732353153,709.930759905152,525.370998594224,94171.6658911935,530415.239735415,1550976.23212012,1949106.47049755,0,0,0,0,0,0.270584680898088,6.45013690740313,3.45182152731718,1.57880255448249,0,0,0,0,0,461.562190932159,2902.59275794414,7786.79870350957,9462.9727759055,141760.482573682,103157.59175181,123262.429890218,159806.668755497,156413.988361826,3660.0171819127,21111.6775936027,59762.0582650198,73885.3173340237,0,0,0,0,0,320.590513675329,1936.07864636574,5206.04153440478,6296.46671530629,0,0,0,0,0,24421.9114355817,135121.899481008,404760.634475273,514991.186566439,1247686.4026071,918964.885113446,1143462.68278549,1269993.99720095,1260800.85798147,14789.5914389976,81243.9538361592,243722.849113005,309925.145050821,0,0,0,0,0,1771.61118427823,10150.5628205402,29043.8093415307,36115.6446438538,0,0,0,0,0,37032.57724387,203951.759344183,636783.573536378,830634.234777488,5638654.54002384,4186834.67955282,5425890.2685805,5029957.80673138,5281454.57029539,150818.627041644,790632.866732342,2524440.32733993,3315115.96821414,0,0,0,0,0,5688.88468446352,31189.2994495677,95015.2887695988,121928.177448026,0,0,0,0,0,1862.30104122885,327.949341920941,3493.77200910295,1534.46438827999,6804.63001049915,16992.0737242569,7364.75001142626,239531.59655227,805.212362715032
19,0.150168039507281,4.01417441930028,2.0169516417005,0.895516273553076,59.9991957610786,32.0170517396139,11.9579076073141,491.31289231727,358.701287323739,94171.8148376926,530418.858466225,1550978.13823627,1949107.33697436,0,0,0,0,0,0.179611938149178,4.54816818731447,2.26973788541662,0.995877186141156,0,0,0,0,0,197.689481867495,1262.08581761721,3412.1350793004,4174.61091533275,101604.249305763,73931.3497831085,88328.032396809,114689.714753791,112215.172130615,2748.96640342728,15905.48231357,44881.2947839226,55417.2279573666,0,0,0,0,0,236.451052477155,1429.97736664067,3839.78083535884,4642.46144305196,0,0,0,0,0,20065.4523304143,111078.228985358,332606.550260554,423127.671923566,1057744.10677585,778744.368194456,967682.744701947,1080646.63009608,1072245.29877808,13088.9111993436,72188.4502201068,215547.024134444,273505.751111868,0,0,0,0,0,1534.77120547347,8820.16667395324,25148.0515531603,31224.2941105123,0,0,0,0,0,26520.7934801611,148147.262239173,462741.190773182,604826.048956586,5868509.62959667,4355615.20334436,5636326.88203082,5253972.92293299,5514340.10963262,168484.430080987,886315.169135856,2817789.87010701,3692727.62261178,0,0,0,0,0,6016.10239093781,33084.4518988532,100424.091921971,128653.618378215,0,0,0,0,0,1934.28775724004,341.304540042645,3627.58562529834,1591.46422389698,7082.01512595022,17677.0616263325,7650.38296281254,250199.41932482,840.718171366039
